Name,Braid Notation,Positive,Q-Positive
10_102,{-1;-1;2;-1;-3;2;-1;2;2;3;3},N,N
10_103,{-1;-1;-2;1;3;-2;-2;3;-2;-2;3},N,N
10_104,{-1;-1;-1;2;2;-1;2;-1;2;2},N,N
10_105,{1;1;-2;1;3;2;2;-4;-3;2;-3;-4},N,N
10_106,{1;1;1;-2;1;-2;1;1;-2;-2},N,N
10_107,{1;1;-2;1;-3;-2;-2;4;-3;2;-3;4},N,N
10_108,{1;1;-2;1;1;3;-2;1;-2;-3;-3},N,N
10_109,{1;1;-2;1;-2;-2;1;1;-2;-2},N,N
10_110,{1;-2;1;3;2;2;2;-4;-3;2;-3;-4},N,N
10_111,{1;1;2;2;-3;2;2;-1;2;-3;2},N,N
10_112,{-1;-1;-1;2;-1;2;-1;2;-1;2},N,N
10_113,{1;1;1;2;-3;2;-1;2;-3;2;-3},N,N
10_114,{-1;-1;-2;1;3;-2;3;-2;3;-2;3},N,N
10_115,{1;-2;1;3;2;2;-4;-3;2;-3;-3;-4},N,N
10_116,{-1;-1;2;-1;-1;2;-1;2;-1;2},N,N
10_117,{-1;-1;-2;-2;3;-2;1;-2;3;-2;3},N,N
10_118,{1;1;-2;1;-2;1;-2;-2;1;-2},N,N
10_119,{1;1;-2;1;3;-2;1;-2;-3;-3;-2},N,N
10_120,{1;1;2;-1;-3;-2;1;4;3;2;2;3;3;4},Y,Y
10_121,{1;1;2;-3;2;-1;2;-3;2;-3;2},N,N
10_122,{-1;-1;-2;3;-2;1;3;-2;3;-2;3},N,N
10_123,{1;-2;1;-2;1;-2;1;-2;1;-2},N,N
10_124,{1;1;1;1;1;2;1;1;1;2},Y,Y
10_125,{-1;-1;-1;-1;-1;2;1;1;1;2},N,N
10_126,{-1;-1;-1;-1;-1;-2;1;1;1;-2},N,Y
10_127,{1;1;1;1;1;2;-1;-1;2;2},N,Y
10_128,{1;1;1;2;1;1;2;2;3;-2;3},Y,Y
10_129,{-1;-1;-1;2;1;1;-3;2;1;-3;2},N,N
10_130,{1;1;1;-2;-1;-1;-2;-2;-3;2;-3},N,N
10_131,{1;1;1;2;-1;-1;2;2;3;-2;3},N,Y
10_132,{1;1;1;-2;-1;-1;-2;-3;2;-3;-3},N,N
10_133,{1;1;1;2;-1;-1;2;3;-2;3;3},N,Y
10_134,{1;1;1;2;1;1;2;3;-2;3;3},Y,Y
