Name,Jones (vector)
10_65,{-8; 2; -1; 2; -5; 8; -9; 11; -10; 8; -5; 3; -1}
10_66,{3; 13; 1; -2; 6; -8; 11; -13; 12; -10; 7; -4; 1}
10_67,{-1; 9; 1; -2; 5; -8; 10; -10; 10; -8; 5; -3; 1}
10_68,{-7; 3; -1; 2; -4; 7; -8; 9; -9; 8; -5; 3; -1}
10_69,{-8; 2; -1; 3; -7; 11; -13; 15; -14; 11; -7; 4; -1}
10_70,{-7; 3; 1; -3; 6; -9; 11; -11; 10; -8; 5; -2; 1}
10_71,{-5; 5; -1; 3; -6; 10; -12; 13; -12; 10; -6; 3; -1}
10_72,{0; 10; 1; -2; 5; -8; 11; -12; 12; -10; 7; -4; 1}
10_73,{-8; 2; -1; 3; -6; 10; -13; 14; -13; 11; -7; 4; -1}
10_74,{-1; 9; 1; -3; 6; -8; 11; -10; 9; -8; 4; -2; 1}
10_75,{-6; 4; 1; -3; 6; -10; 12; -13; 14; -10; 7; -4; 1}
10_76,{0; 10; 1; -1; 4; -6; 8; -10; 9; -8; 6; -3; 1}
10_77,{-8; 2; -1; 3; -6; 8; -10; 11; -9; 8; -4; 2; -1}
10_78,{0; 10; 1; -3; 6; -8; 11; -11; 11; -9; 5; -3; 1}
10_79,{-5; 5; -1; 2; -5; 8; -9; 11; -9; 8; -5; 2; -1}
10_80,{3; 13; 1; -2; 6; -8; 11; -12; 11; -10; 6; -3; 1}
10_81,{-5; 5; -1; 3; -7; 11; -13; 15; -13; 11; -7; 3; -1}
10_82,{-3; 7; 1; -3; 5; -7; 10; -10; 10; -8; 5; -3; 1}
10_83,{-8; 2; -1; 3; -6; 10; -13; 14; -13; 11; -7; 4; -1}
10_84,{-2; 8; -1; 3; -6; 11; -13; 15; -14; 11; -8; 4; -1}
10_85,{-9; 1; -1; 3; -5; 7; -9; 9; -8; 7; -4; 3; -1}
10_86,{-4; 6; 1; -4; 8; -11; 14; -14; 13; -10; 6; -3; 1}
10_87,{-4; 6; 1; -3; 6; -10; 13; -13; 13; -10; 7; -4; 1}
10_88,{-5; 5; -1; 4; -8; 13; -16; 17; -16; 13; -8; 4; -1}
10_89,{-8; 2; -1; 3; -7; 12; -15; 17; -16; 13; -9; 5; -1}
10_90,{-4; 6; 1; -3; 7; -10; 12; -13; 12; -9; 6; -3; 1}
10_91,{-5; 5; -1; 3; -6; 9; -11; 13; -11; 9; -6; 3; -1}
10_92,{0; 10; 1; -3; 7; -10; 14; -15; 14; -12; 8; -4; 1}
10_93,{-6; 4; -1; 3; -6; 9; -10; 11; -10; 8; -5; 3; -1}
10_94,{-3; 7; 1; -3; 6; -8; 11; -12; 11; -9; 6; -3; 1}
10_95,{-8; 2; -1; 3; -7; 11; -14; 16; -14; 12; -8; 4; -1}
10_96,{-6; 4; 1; -3; 7; -11; 14; -16; 15; -12; 9; -4; 1}
10_97,{-1; 9; 1; -3; 7; -11; 14; -14; 14; -11; 7; -4; 1}
10_98,{0; 10; 1; -3; 7; -9; 13; -14; 12; -11; 7; -3; 1}
10_99,{-5; 5; -1; 3; -7; 10; -12; 15; -12; 10; -7; 3; -1}
10_100,{-9; 1; -1; 3; -6; 8; -10; 11; -9; 8; -5; 3; -1}
10_101,{2; 12; 1; -3; 7; -10; 14; -14; 13; -11; 7; -4; 1}
10_102,{-4; 6; 1; -3; 6; -9; 12; -12; 11; -9; 6; -3; 1}
10_103,{-8; 2; -1; 3; -6; 9; -12; 13; -11; 10; -6; 3; -1}
10_104,{-5; 5; -1; 3; -6; 10; -12; 13; -12; 10; -6; 3; -1}
10_105,{-3; 7; 1; -3; 7; -11; 14; -15; 15; -12; 8; -4; 1}
10_106,{-3; 7; 1; -3; 6; -9; 12; -12; 12; -10; 6; -3; 1}
10_107,{-5; 5; -1; 3; -7; 12; -14; 16; -15; 12; -8; 4; -1}
10_108,{-4; 6; -1; 3; -5; 8; -9; 10; -10; 8; -5; 3; -1}
10_109,{-5; 5; -1; 3; -7; 11; -13; 15; -13; 11; -7; 3; -1}
10_110,{-3; 7; 1; -3; 7; -10; 13; -14; 13; -11; 7; -3; 1}
10_111,{0; 10; 1; -3; 7; -9; 12; -13; 12; -10; 6; -3; 1}
10_112,{-7; 3; 1; -4; 7; -11; 14; -14; 14; -10; 7; -4; 1}
10_113,{-2; 8; -1; 4; -8; 14; -17; 19; -18; 14; -10; 5; -1}
10_114,{-6; 4; 1; -4; 7; -11; 15; -15; 15; -12; 8; -4; 1}
10_115,{-5; 5; -1; 4; -9; 14; -17; 19; -17; 14; -9; 4; -1}
10_116,{-7; 3; 1; -4; 8; -12; 15; -16; 15; -11; 8; -4; 1}
10_117,{-8; 2; -1; 4; -9; 13; -16; 18; -16; 13; -8; 4; -1}
10_118,{-5; 5; -1; 4; -8; 12; -15; 17; -15; 12; -8; 4; -1}
10_119,{-6; 4; 1; -4; 8; -12; 16; -17; 16; -13; 9; -4; 1}
10_120,{2; 12; 1; -4; 10; -13; 17; -18; 16; -13; 8; -4; 1}
10_121,{-2; 8; -1; 5; -10; 15; -18; 20; -18; 14; -9; 4; -1}
10_122,{-6; 4; 1; -5; 9; -13; 17; -17; 17; -13; 8; -4; 1}
10_123,{-5; 5; -1; 5; -10; 15; -19; 21; -19; 15; -10; 5; -1}
10_124,{4; 10; 1; 0; 1; 0; 0; 0; -1}
10_125,{-4; 4; -1; 1; -1; 2; -1; 2; -1; 1; -1}
10_126,{-8; 0; -1; 1; -2; 3; -3; 4; -2; 2; -1}
10_127,{2; 10; 2; -2; 4; -5; 5; -5; 3; -2; 1}
10_128,{3; 10; 1; -1; 2; -1; 2; -2; 1; -1}
10_129,{-3; 5; -1; 2; -3; 5; -4; 4; -3; 2; -1}
10_130,{-7; 1; -1; 1; -2; 3; -2; 3; -2; 2; -1}
10_131,{1; 9; 2; -3; 5; -5; 5; -5; 3; -2; 1}
10_132,{-7; -2; -1; 1; -1; 1; 0; 1}
10_133,{1; 9; 1; -1; 3; -3; 3; -3; 2; -2; 1}
10_134,{3; 11; 1; -1; 3; -3; 4; -4; 3; -3; 1}
10_135,{-3; 5; -2; 4; -5; 7; -6; 6; -4; 2; -1}
10_136,{-4; 3; -1; 2; -2; 3; -2; 2; -2; 1}
10_137,{-2; 6; 1; -2; 4; -4; 4; -4; 3; -2; 1}
10_138,{-3; 5; 1; -2; 4; -5; 6; -6; 5; -4; 2}
10_139,{4; 12; 1; 0; 1; 0; -1; 1; -1; 1; -1}
10_140,{0; 7; 1; -1; 1; -1; 2; -1; 1; -1}
10_141,{-2; 6; 1; -2; 3; -3; 4; -3; 2; -2; 1}
10_142,{3; 10; 1; -1; 2; -2; 3; -2; 2; -2}
10_143,{-8; 0; -1; 2; -3; 4; -5; 5; -3; 3; -1}
10_144,{-1; 7; 2; -3; 5; -7; 7; -6; 5; -3; 1}
10_145,{-10; -2; -1; 1; -1; 1; 0; 0; 0; 0; 1}
10_146,{-5; 3; -1; 3; -4; 5; -6; 6; -4; 3; -1}
10_147,{-3; 5; 1; -2; 3; -4; 5; -4; 4; -3; 1}
10_148,{-8; 0; -1; 2; -4; 5; -5; 6; -4; 3; -1}
10_149,{2; 10; 2; -3; 6; -7; 7; -7; 5; -3; 1}
10_150,{0; 8; 1; -2; 4; -4; 5; -5; 4; -3; 1}
10_151,{-6; 2; -2; 4; -6; 8; -7; 7; -5; 3; -1}
10_152,{4; 13; 1; 0; 1; 1; -2; 2; -3; 2; -2; 1}
10_153,{-5; 4; -1; 1; -1; 1; 0; 1; 1; -1; 1; -1}
10_154,{3; 12; 1; 0; 0; 2; -2; 2; -3; 2; -2; 1}
10_155,{-6; 2; 1; -2; 3; -4; 4; -4; 4; -2; 1}
